,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,WL
205,240,39,89,0.43799999999999994,13,40,0.325,3,7,0.429,7,24,31,20,7,5,12,17,94,-1
206,240,37,85,0.435,10,30,0.33299999999999996,10,13,0.769,9,33,42,23,8,2,13,21,94,-1
207,240,42,91,0.462,6,22,0.273,4,9,0.444,8,41,49,20,3,9,12,18,94,-1
208,240,39,93,0.419,10,25,0.4,6,11,0.545,10,27,37,26,8,4,14,20,94,-1
209,240,31,85,0.365,4,25,0.16,28,35,0.8,12,40,52,11,6,4,18,30,94,-1
210,240,35,90,0.389,11,36,0.306,13,16,0.813,5,33,38,16,13,4,11,27,94,-1
211,240,36,71,0.507,10,22,0.455,12,22,0.545,9,34,43,31,5,5,24,20,94,-1
212,240,36,84,0.429,7,25,0.28,15,21,0.7140000000000001,7,30,37,22,10,8,15,34,94,-1
213,240,36,78,0.462,4,18,0.222,18,21,0.857,8,36,44,21,2,5,12,22,94,-1
214,240,31,81,0.38299999999999995,13,37,0.35100000000000003,19,22,0.8640000000000001,9,33,42,21,6,2,15,15,94,-1
215,240,39,95,0.41100000000000003,6,23,0.261,10,16,0.625,12,33,45,22,6,5,10,21,94,-1
216,240,34,89,0.382,10,32,0.313,16,23,0.696,11,46,57,22,9,3,12,18,94,1
217,240,32,93,0.344,11,44,0.25,19,22,0.8640000000000001,16,38,54,20,11,8,19,25,94,-1
218,240,36,74,0.486,11,25,0.44,11,16,0.688,3,33,36,26,6,10,19,18,94,-1
219,240,36,93,0.387,14,42,0.33299999999999996,8,10,0.8,11,31,42,19,11,5,13,16,94,-1
220,240,37,94,0.39399999999999996,8,31,0.258,12,17,0.706,8,33,41,19,9,6,12,21,94,-1
221,240,33,75,0.44,8,28,0.28600000000000003,20,30,0.667,7,32,39,17,8,3,16,15,94,-1
222,240,35,81,0.43200000000000005,10,26,0.385,14,15,0.9329999999999999,3,23,26,22,10,2,15,20,94,-1
223,240,37,92,0.402,6,24,0.25,15,20,0.75,9,45,54,24,9,6,12,21,95,1
224,240,37,87,0.425,7,27,0.259,14,20,0.7,11,45,56,22,3,2,14,19,95,1
225,240,34,81,0.42,8,27,0.29600000000000004,19,22,0.8640000000000001,5,29,34,20,9,2,16,16,95,-1
226,240,34,85,0.4,8,35,0.22899999999999998,19,23,0.826,9,36,45,26,5,2,22,24,95,-1
227,240,37,89,0.41600000000000004,9,32,0.281,12,16,0.75,16,31,47,16,1,5,13,15,95,-1
228,240,35,79,0.44299999999999995,7,22,0.318,18,19,0.9470000000000001,4,40,44,22,9,9,22,25,95,-1
229,240,33,86,0.384,6,30,0.2,23,28,0.821,10,37,47,24,6,4,14,20,95,-1
230,240,34,77,0.442,7,24,0.292,20,23,0.87,8,37,45,19,9,4,24,21,95,-1
231,240,38,89,0.42700000000000005,7,24,0.292,12,17,0.706,14,29,43,26,15,4,14,20,95,1
232,240,37,84,0.44,8,36,0.222,13,14,0.929,9,28,37,17,10,2,15,18,95,1
233,240,35,79,0.44299999999999995,15,27,0.556,10,12,0.833,5,33,38,26,9,1,12,15,95,1
234,240,32,76,0.42100000000000004,7,30,0.233,24,26,0.9229999999999999,2,33,35,20,4,7,16,25,95,-1
235,240,33,82,0.402,12,35,0.34299999999999997,17,25,0.68,7,37,44,20,5,6,16,14,95,-1
236,240,39,84,0.46399999999999997,8,19,0.42100000000000004,9,17,0.529,10,41,51,21,6,8,18,25,95,-1
237,240,39,88,0.44299999999999995,11,33,0.33299999999999996,6,13,0.462,11,31,42,28,7,3,18,22,95,-1
238,240,36,91,0.396,7,34,0.20600000000000002,16,27,0.593,13,38,51,21,4,5,11,22,95,-1
239,240,37,103,0.359,5,27,0.185,16,24,0.667,16,39,55,14,9,5,13,23,95,-1
240,240,35,88,0.39799999999999996,6,24,0.25,19,21,0.905,9,30,39,13,11,1,17,12,95,-1
241,240,35,78,0.449,10,30,0.33299999999999996,15,18,0.833,6,30,36,28,5,7,18,23,95,-1
242,240,32,79,0.405,11,42,0.262,20,22,0.909,9,38,47,19,5,4,25,16,95,-1
243,240,32,87,0.368,13,37,0.35100000000000003,18,24,0.75,5,41,46,15,8,1,16,15,95,-1
244,240,34,96,0.354,8,43,0.18600000000000003,19,27,0.7040000000000001,9,27,36,18,15,2,11,21,95,-1
245,240,34,92,0.37,9,33,0.273,18,20,0.9,17,35,52,17,5,8,12,15,95,1
246,240,36,72,0.5,5,22,0.22699999999999998,18,24,0.75,3,31,34,22,7,9,13,16,95,1
